,Space,Population,Contagtion,Scalar,Error,ABM_R_avg,R
0,50,500,0.0,0.0,0.0,0.0,0.0
1,50,500,0.005,3.3984375000000018,0.06256401458225709,0.4490789656041461,1.5261667971703412
2,50,500,0.01,3.917968750000003,0.21476593550845338,0.7803942542203562,3.057560300714914
3,50,500,0.025,2.946875000000002,0.6077116040882516,2.1452592169113696,6.321810754835696
4,50,500,0.05,2.1593750000000007,0.7785587337369014,4.339813448528194,9.37128466541557
5,50,500,0.075,1.7210937500000008,0.8606838246578882,6.561526093679368,11.29300155029348
6,50,500,0.1,1.4375000000000004,0.8788121644435617,8.704611479920686,12.51287900238599
7,50,500,0.15,1.1,0.9551375957622688,13.133582855718686,14.446941141290555
8,50,500,0.2,0.91875,0.9438216276527135,17.48723798636183,16.06639989996993
9,50,500,0.25,0.7437499999999999,0.9900166456484971,22.30709681348039,16.59090325502604
10,50,500,0.3,0.6687500000000002,0.9849467014139117,26.436658104785305,17.679515107575178
11,50,500,0.35,0.5890625,1.0136728672450475,31.041831212616266,18.28557869868177
12,50,500,0.4,0.53515625,0.9960936958511573,34.76048696038633,18.602291849894247
13,50,500,0.45,0.47656250000000017,1.0278962882894562,39.88256100464126,19.006532978774356
14,50,500,1.0,0.2406250000000002,1.0441724899510691,86.63560682811176,20.84669289301441
15,50,600,0.0,0.0,0.0,0.0,0.0
16,50,600,0.005,3.751562500000002,0.1879256945091163,0.5037394360764437,1.8898099781555342
17,50,600,0.01,3.750000000000002,0.28952787392421697,0.9845843644525477,3.692191366697056
18,50,600,0.025,2.7125000000000017,0.6560622433834502,2.5673784384165868,6.964014014204996
19,50,600,0.05,1.9492187500000007,0.8241852802010396,5.261141873863842,10.25511638694554
20,50,600,0.075,1.5937500000000004,0.8723873234071137,7.709079822509441,12.286345967124426
21,50,600,0.1,1.3437500000000004,0.8969357659884443,10.46357911426649,14.060434434795601
22,50,600,0.15,1.0046875000000002,0.9883735147122039,15.77746963018495,15.851426519076444
23,50,600,0.2,0.8082031249999999,0.9745408719074212,21.078901245707385,17.0360338583471
24,50,600,0.25,0.6820312500000002,1.03357885674463,26.4956096469571,18.070833767026215
25,50,600,0.3,0.6164062499999999,1.0103915497563372,31.413688475945428,19.363593912125733
26,50,600,0.35,0.525,1.046323595078747,37.1814719283144,19.52027276236506
27,50,600,0.4,0.48925781250000017,1.020363649865312,41.70576710581937,20.404872382827648
28,50,600,0.45,0.4216796875,1.0648041944432414,47.55212358136696,20.0517646117522
29,50,600,1.0,0.20859375000000016,1.047934459467974,105.99317121125438,22.10951305734761
30,50,700,0.0,0.0,0.0,0.0,0.0
31,50,700,0.005,4.000390625000002,0.17398524556323994,0.5521699689888137,2.208895567349392
32,50,700,0.01,3.5250000000000026,0.3510273781047848,1.1651052179515002,4.106995893279041
33,50,700,0.025,2.556250000000001,0.7030093312374632,3.015409028258294,7.708139328485267
34,50,700,0.05,1.818750000000001,0.861341871876474,6.166288494198861,11.214937198824185
35,50,700,0.075,1.4890625000000004,0.9169531222560412,9.052981183699488,13.480454793852523
36,50,700,0.1,1.2250000000000003,0.9335125668909425,12.051507578061575,14.763096783125432
37,50,700,0.15,0.9156249999999999,0.9960214281227049,18.37340879841441,16.823152431048193
38,50,700,0.2,0.7476562500000002,1.0018984459494333,24.77299290869458,18.521682979391187
39,50,700,0.25,0.6234375000000001,1.0334143785050973,31.051995324327127,19.358978335010196
40,50,700,0.3,0.5531250000000002,1.036971408619726,36.73916001419046,20.321347882849107
41,50,700,0.35,0.47910156250000013,1.0657514411916686,43.329415802455614,20.759190813168683
42,50,700,0.4,0.43320312500000013,1.050932930890724,49.39387140260127,21.39757944745501
