,Space,Population,Contagtion,Scalar,Error
74,100,600,0.2,1.925000000000001,0.5525023381229701
75,100,600,0.25,1.6500000000000006,0.5576395190350044
76,100,600,0.3,1.4000000000000004,0.6084536170954585
77,100,600,0.35,1.3000000000000003,0.6093763148093819
78,100,600,0.4,1.1,0.6443834657238342
79,100,600,0.45,1.0,0.638740733073925
80,100,700,0.1,0.9500000000000001,0.6719515406465335
81,100,700,0.15,2.250000000000001,0.5409835254059921
82,100,700,0.2,1.8500000000000008,0.592880345597393
83,100,700,0.25,1.6000000000000005,0.6447536467138337
84,100,700,0.3,1.4000000000000004,0.6759343544195868
85,100,700,0.35,1.2000000000000002,0.6741113072076694
86,100,700,0.4,1.1,0.719798723370105
87,100,700,0.45,1.0,0.7145507054011676
88,100,800,0.1,0.9,0.7236524957515373
89,100,800,0.15,2.2500000000000013,0.5762821995629719
90,100,800,0.2,1.8000000000000007,0.6344685582995252
91,100,800,0.25,1.5000000000000004,0.6919653882402241
92,100,800,0.3,1.3500000000000003,0.6930812116573182
93,100,800,0.35,1.2000000000000002,0.7064212971221148
94,100,800,0.4,1.05,0.7413155571642904
95,100,800,0.45,0.9750000000000001,0.7475962944989328
96,125,500,0.1,0.8750000000000001,0.7680201704285268
97,125,500,0.15,2.5000000000000013,0.25692291188035477
98,125,500,0.2,2.200000000000001,0.32962440134236676
99,125,500,0.25,1.9000000000000008,0.38355418706104066
100,125,500,0.3,1.7000000000000006,0.3989730679053667
101,125,500,0.35,1.4000000000000004,0.40156978382184544
102,125,500,0.4,1.3250000000000004,0.41160505912057654
103,125,500,0.45,1.175,0.43794875156991364
104,125,600,0.1,1.1,0.45235626838616944
105,125,600,0.15,2.5000000000000013,0.3662956649204556
106,125,600,0.2,2.100000000000001,0.40284550657025875
107,125,600,0.25,1.7921875000000005,0.43878837812059857
108,125,600,0.3,1.6500000000000006,0.46152523230992665
109,125,600,0.35,1.4000000000000004,0.46750919321262663
110,125,600,0.4,1.2500000000000002,0.4994245109921126
111,125,600,0.45,1.1500000000000001,0.5186922567397733
112,125,700,0.1,1.1,0.5055199682117548
113,125,700,0.15,2.4156250000000012,0.39427613073363627
114,125,700,0.2,2.000000000000001,0.429250893305761
115,125,700,0.25,1.7750000000000006,0.4702334444630613
116,125,700,0.3,1.5500000000000005,0.5020195898230623
117,125,700,0.35,1.3250000000000004,0.5203063684866532
118,125,700,0.4,1.2125000000000004,0.528679307361011
119,125,700,0.45,1.1,0.521700251014385
120,125,800,0.1,1.0,0.5479379422334435
121,125,800,0.15,2.4000000000000012,0.417532268162761
122,125,800,0.2,2.050000000000001,0.47836834974624787
123,125,800,0.25,1.6500000000000006,0.5440432346882946
124,125,800,0.3,1.5000000000000004,0.5425134447285513
125,125,800,0.35,1.2250000000000003,0.5407506458773307
126,125,800,0.4,1.1500000000000001,0.5801140842753184
127,125,800,0.45,1.075,0.5886185906955782
